"","window(gdp_hp$cycle, start = c(1987, 1))","window(cpi_ts_q, start = c(1987, 1))","window(interest_ts_q, start = c(1987, 1))","window(tot_ts, start = c(1987, 1))","window(cambio_ts_q, start = c(1987, 4))"
"33",0.015849791391237,561.2899988,8.47,82.3,1.4077
"34",0.0108125064170748,568.0076192,6.97,83.4,1.3775
"35",0.00464364417009236,569.782724,6.71,84.4,1.3509
"36",0.00253270331124432,570.137858,5.79,84.7,1.3693
"37",-0.0047993797302547,573.3404744,5.25,84.9,1.3656
"38",-0.00628824835586942,581.5765446,5,84.8,1.3658
"39",-0.00469839886157856,583.0159882,4.25,85,1.3694
"40",-0.00181970366979261,588.42928,3.25,86.2,1.3622
"41",0.00164035546382771,593.144918,3.25,85.8,1.3725
"42",-0.00248710419696666,596.0572892,3.25,84.2,1.3843
"43",-0.000903197534342544,598.6126784,3.5,84.2,1.3872
"44",-0.00165490299642145,597.881912,4.5,83.8,1.4271
"45",-0.00365083472134925,602.273396,5,82.3,1.4166
"46",-0.0167003157265799,604.842943,5,82,1.4655
"47",-0.0267388649431884,605.9469437,5.75,80.2,1.5218
"48",-0.0254689562814748,607.7882238,5.25,79.9,1.5433
"49",-0.0173202453466866,610.0016,5,80.3,1.5176
"50",-0.0126626153716894,621.142184,4.75,81.9,1.4695
"51",-0.000416804232371751,629.3847106,4.75,82.9,1.4771
"52",0.00393438592000109,632.3986946,5,83.7,1.4722
"53",0.0168751628397671,637.304372,5.5,85,1.4608
"54",0.0291980642279098,646.8188,6,85.2,1.477
"55",0.0347672640498408,657.1864196,6,86.2,1.4864
"56",0.0302500423155214,664.9246016,6,86.6,1.5219
"57",0.0309730149034322,667.2539264,5.25,88,1.5587
"58",0.0194688548748427,685.286238,4.75,86.1,1.5245
"59",-0.00672490033185003,686.476656,3.75,83.8,1.5679
"60",-0.0225154449192956,675.0581375,2.5,81.3,1.5788
"61",-0.0170838169653256,682.1275165,2.25,81.3,1.5877
